run_id,run_name,start_time,offline_accuracy,online_accuracy,decay_accuracy,offline_error_rate,offline_fpr,offline_fnr,adv_robust_rate,adv_error_rate,drift_robust_rate,drift_error_rate,ood_error_rate,ood_wrong_count,noise_robust_accuracy,noise_robust_error_rate,fairness_pass_rate,fairness_error_rate
9f476c498e2b43b7b7eacc53fedfe577,离线vs模拟线上_指标衰减验收,2026-06-10 11:08:39,0.5,1.0,0.5,0.5,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
a494dc6dc62b4f09b6b1cfb7e805f050,对抗注入_这款手机性价比很高,2026-06-10 11:08:41,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
b8e6a4bc4a624c049098c3d0cff5a641,对抗注入_做工粗糙不好用,2026-06-10 11:08:43,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
cb42566951a44155a1da19d8068e5795,对抗注入_画面清晰体验不错,2026-06-10 11:08:45,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
0f43f88b11ae4bdfba6828db76a70805,对抗注入_卡顿频繁不推荐,2026-06-10 11:08:47,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
2776d29e82ec4cc28732ef47b38575bb,数据漂移测试_这款手机性价比很高,2026-06-10 11:08:49,nan,nan,nan,nan,nan,nan,nan,nan,0.5714,0.4286,nan,nan,nan,nan,nan,nan
3dc01e71bb8e4c42836c4142da1b34f4,数据漂移测试_做工粗糙不好用,2026-06-10 11:08:51,nan,nan,nan,nan,nan,nan,nan,nan,0.4286,0.5714,nan,nan,nan,nan,nan,nan
795f9052b60b40d2b362aba9c850c870,数据漂移测试_画面清晰体验不错,2026-06-10 11:08:52,nan,nan,nan,nan,nan,nan,nan,nan,0.5714,0.4286,nan,nan,nan,nan,nan,nan
8f5b2b18b2874e178bef40b977066bc7,数据漂移测试_卡顿频繁不推荐,2026-06-10 11:08:53,nan,nan,nan,nan,nan,nan,nan,nan,0.4286,0.5714,nan,nan,nan,nan,nan,nan
f3236400633647cbb950420017aa4bce,公平性测试_这款手机性价比很高,2026-06-10 11:08:55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0
fb8dc8a1c8e240ad8b142d3f0502e715,公平性测试_做工粗糙不好用,2026-06-10 11:08:56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0
c8375b05e8d0477f8d229e65e0f23a89,公平性测试_画面清晰体验不错,2026-06-10 11:08:58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0
fe0c413d473a40f2a46409ec89d6970a,公平性测试_卡顿频繁不推荐,2026-06-10 11:08:59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0
64557e1d5663460aa7638aafdb93cdea,脏输入测试_这款手机性价比很高,2026-06-10 11:09:01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5714,0.4286,nan,nan
b20d383ffc7a4e19a11b31867a9d9254,脏输入测试_做工粗糙不好用,2026-06-10 11:09:02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4286,0.5714,nan,nan
6a8500349d85438bad4dbbd500ec7c5b,脏输入测试_画面清晰体验不错,2026-06-10 11:09:03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5714,0.4286,nan,nan
be1dd532bb964c10bde1b6e37d2b38f3,脏输入测试_卡顿频繁不推荐,2026-06-10 11:09:05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4286,0.5714,nan,nan
fb33b3c2d844458aaa212635238891d1,OOD测试_这款手机性价比很高,2026-06-10 11:09:06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,nan,nan,nan,nan
3d5136b9f2b945dfb53d1045d90544cb,OOD测试_做工粗糙不好用,2026-06-10 11:09:07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,nan,nan,nan,nan
50682e147e2e4458941a3552428c07d9,OOD测试_画面清晰体验不错,2026-06-10 11:09:09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,nan,nan,nan,nan
1ffcbd2f340847b98270a52ad3811130,OOD测试_卡顿频繁不推荐,2026-06-10 11:09:10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,nan,nan,nan,nan
