run_id,run_name,start_time,test_type,offline_accuracy,total_error_rate,false_positive_rate_FPR,false_negative_rate_FNR,offline_accuracy_normal,total_error_rate_normal,offline_accuracy_edge,total_error_rate_edge,adv_robust_rate,adv_error_rate,drift_robust_rate,drift_error_rate,ood_error_rate,ood_wrong_count,noise_robust_accuracy,noise_robust_error_rate,fairness_pass_rate,fairness_error_rate,是否达标,超限详情
4a2c08842f714566bcecdf6b6fa2b5df,对抗注入_这款手机性价比很高,,,,,,,,,,,1.0,0.0,,,,,,,,,达标,
3eedfbbd1eca43be8ee14bd3737525f8,对抗注入_做工粗糙不好用,,,,,,,,,,,0.0,1.0,,,,,,,,,不达标,鲁棒平均误判率100.00%>8.00%
60698b027c1843ddb8f1cdfcda63b087,对抗注入_画面清晰体验不错,,,,,,,,,,,1.0,0.0,,,,,,,,,达标,
fc6b4923009b4829ae641a50047fcbdc,对抗注入_卡顿频繁不推荐,,,,,,,,,,,0.0,1.0,,,,,,,,,不达标,鲁棒平均误判率100.00%>8.00%
dd3f2666e065437eb14f9b3a543d7454,数据漂移测试_这款手机性价比很高,,,,,,,,,,,,,0.5714,0.4286,,,,,,,不达标,鲁棒平均误判率42.86%>8.00%
559d0393f2e645e99e8736df01b096a7,数据漂移测试_做工粗糙不好用,,,,,,,,,,,,,0.4286,0.5714,,,,,,,不达标,鲁棒平均误判率57.14%>8.00%
75da0ece125f46fd8590af05679c0173,数据漂移测试_画面清晰体验不错,,,,,,,,,,,,,0.5714,0.4286,,,,,,,不达标,鲁棒平均误判率42.86%>8.00%
9dd27891fc5b4003bd7ff1bbac0f5d1a,数据漂移测试_卡顿频繁不推荐,,,,,,,,,,,,,0.4286,0.5714,,,,,,,不达标,鲁棒平均误判率57.14%>8.00%
df5f63e90ac74947bd5c1f5e7c2aa385,公平性测试_这款手机性价比很高,,,,,,,,,,,,,,,,,,,1.0,0.0,达标,
2472f5d25972436bad1abec3403f0af3,公平性测试_做工粗糙不好用,,,,,,,,,,,,,,,,,,,0.0,1.0,不达标,公平性通过率0.00%<90.00%; 鲁棒平均误判率100.00%>8.00%
0ab1aa89002d468d912865d2abd79a1c,公平性测试_画面清晰体验不错,,,,,,,,,,,,,,,,,,,1.0,0.0,达标,
93cd288f88cd4726b811ecb4b727f3d7,公平性测试_卡顿频繁不推荐,,,,,,,,,,,,,,,,,,,0.0,1.0,不达标,公平性通过率0.00%<90.00%; 鲁棒平均误判率100.00%>8.00%
c40fcda4766846ecbb8c62857b920885,脏输入测试_这款手机性价比很高,,,,,,,,,,,,,,,,,0.5714,0.4286,,,达标,
81bd4c3da4b64349bea9ab77ffee1506,脏输入测试_做工粗糙不好用,,,,,,,,,,,,,,,,,0.4286,0.5714,,,达标,
39c57ee4a2c842a686b0fe5d2440979a,脏输入测试_画面清晰体验不错,,,,,,,,,,,,,,,,,0.5714,0.4286,,,达标,
cbb16780353e45dfa50942e88450f6f8,脏输入测试_卡顿频繁不推荐,,,,,,,,,,,,,,,,,0.4286,0.5714,,,达标,
a41bab16d9c44d7087089bbea55ee845,OOD测试_这款手机性价比很高,,,,,,,,,,,,,,,1.0,7.0,,,,,不达标,鲁棒平均误判率100.00%>8.00%
51274387c5374ce899ce54ef5c33e816,OOD测试_做工粗糙不好用,,,,,,,,,,,,,,,1.0,7.0,,,,,不达标,鲁棒平均误判率100.00%>8.00%
369387f386d942b889b3cec3a9663095,OOD测试_画面清晰体验不错,,,,,,,,,,,,,,,1.0,7.0,,,,,不达标,鲁棒平均误判率100.00%>8.00%
c846ebc68ae04c1ab45c1ee8e5cf9726,OOD测试_卡顿频繁不推荐,,,,,,,,,,,,,,,1.0,7.0,,,,,不达标,鲁棒平均误判率100.00%>8.00%
667149c2ffbe4325b0cd96d49a3dede3,对抗注入_这款手机性价比很高,,,,,,,,,,,1.0,0.0,,,,,,,,,达标,
03c6f650ad7341a19e0c5cf08d964181,对抗注入_做工粗糙不好用,,,,,,,,,,,0.0,1.0,,,,,,,,,不达标,鲁棒平均误判率100.00%>8.00%
5cd6a55eb11141bbb467b284f6445a20,对抗注入_画面清晰体验不错,,,,,,,,,,,1.0,0.0,,,,,,,,,达标,
